,Spanish,Portuguese
0,de,de
1,que,que
2,no,Não
3,a,para
4,la,o
5,el,ele
6,y,e
7,es,é
8,en,em
9,lo,isto
10,un,a
11,por,por
12,qué,que
13,me,EU
14,una,a
15,los,o
16,se,ELE
17,te,chá
18,con,com
19,para,para
20,está,Está
21,mi,meu
22,pero,mas
23,sí,Sim
24,si,Sim
25,bien,bom
26,eso,isso
27,su,dele
28,las,as
29,yo,EU
30,del,do
31,como,como
32,aquí,aqui
33,tu,você
34,al,para o
35,más,avançar
36,le,você
37,esto,esse
38,todo,todos
39,ya,já
40,estoy,Eu sou
41,ahora,agora
42,muy,muito
43,ha,ha
44,esta,Está
45,así,Então
46,vamos,vamos
47,algo,algo
48,hay,há
49,bueno,Bem
50,tengo,Eu tenho
51,él,ele
52,cuando,quando
53,estás,são
54,sé,ELE
55,tú,você
56,nos,nós
57,nada,nada
58,cómo,como
59,este,esse
60,o,qualquer
61,he,Ele
62,ser,ser
63,tiene,tem
64,puedo,Eu posso
65,ella,ela
66,quiero,quero
67,hacer,fazer
68,fue,era
69,gracias,obrigado
70,vez,tempo
71,era,era
72,soy,sou
73,sólo,apenas
74,todos,todos
75,porque,porque
76,son,são
77,tienes,ter
78,creo,acreditar
79,voy,ir
80,sabes,Você sabe
81,estaba,era
82,puede,pode
83,eres,são
84,ese,esse
85,usted,você
86,entonces,então
87,hola,olá
88,solo,apenas
89,verdad,verdadeiro
90,casa,lar
91,tan,então
92,quién,Quem
93,sus,deles
94,tiempo,tempo
95,dos,dois
96,esa,que
97,nunca,nunca
98,dónde,onde
99,va,vai
100,oh,Oh
101,favor,Favor
102,mucho,bastante
103,mí,meu
104,quieres,querer
105,siento,eu sinto
106,señor,Senhor
107,mejor,melhorar
108,hace,faz
109,has,você tem
110,decir,dizer
111,también,também
112,sobre,sobre
113,dios,Deus
114,sin,sem
115,tenemos,ter
116,están,estão
117,ti,você
118,puedes,pode
119,ver,ver
120,hombre,homem
121,vida,vida
122,alguien,alguém
123,cosas,coisas
124,siempre,sempre
125,hasta,até
126,ahí,lá
127,ir,ir
128,años,anos
129,antes,antes
130,estar,ser
131,ni,nenhum
132,poco,pedaço
133,día,dia
134,uno,um
135,noche,noite
136,hecho,feito
137,mis,meu
138,estamos,nós somos
139,otra,outro
140,acuerdo,acordo
141,trabajo,trabalho
142,nosotros,nós
143,parece,parece
144,gente,pessoas
145,sea,ser
146,padre,pai
147,mira,olhar
148,mismo,mesmo
149,dijo,disse
150,nadie,ninguém
151,quiere,quer
152,podría,poderia
153,hablar,falar
154,vas,você vai
155,ellos,eles
156,sr.,Senhor.
157,tal,tal
158,pasa,acontece
159,fuera,fora
160,después,depois
161,han,Eles têm
162,desde,de
163,dinero,dinheiro
164,mundo,mundo
165,claro,claro
166,momento,momento
167,les,eles
168,tener,ter
169,estado,estado
170,otro,outro
171,había,houve
172,mañana,Manhã
173,tenía,tive
174,madre,mãe
175,vale,OK
176,lugar,lugar
177,haciendo,fazendo
178,donde,onde
179,seguro,claro
180,sabe,sabe
181,podemos,pode
182,tus,seu
183,espera,espere
184,nuevo,novo
185,sido,estive
186,cosa,coisa
187,hijo,filho
188,allí,lá
189,menos,menos
190,tipo,cara
191,amigo,amigo
192,gran,ótimo
193,nuestro,nosso
194,mujer,mulheres
195,mamá,mãe
196,luego,então
197,papá,pai
198,días,dias
199,dice,diz
200,hoy,hoje
201,tres,três
202,buena,bom
203,necesito,precisar
204,dije,disse
205,oye,ei
206,gusta,gosta
207,quería,queria
208,será,ser
209,haber,haver
210,parte,papel
211,todas,todos
212,crees,Você acredita
213,buen,bom
214,conmigo,Comigo
215,nombre,nome
216,mierda,merda
217,nuestra,nosso
218,mal,mal
219,debe,tem que
220,realmente,realmente
221,estas,são
222,aún,ainda
223,mío,meu
224,toda,todos
225,hacerlo,faça isso
226,cada,cada
227,visto,visto
228,importa,Importa
229,contigo,com você
230,tienen,ter
231,hemos,Nós temos
232,razón,razão
233,alguna,alguns
234,tanto,muito
235,saber,saber
236,hizo,fez
237,veces,vezes
238,serio,Sério
239,ven,vir
240,idea,ideia
241,eh,Ei
242,tarde,tarde
243,problema,problema
244,hora,hora
245,cierto,verdadeiro
246,dicho,ditado
247,quien,Quem
248,demasiado,demais
249,amor,amor
250,entre,entre
251,ve,ir
252,pasado,passado
253,familia,família
254,estos,esses
255,policía,polícia
256,debería,deveria
257,ustedes,você
258,chica,garota
259,esos,aqueles
260,chicos,pessoal
261,cuenta,conta
262,haces,Você faz
263,todavía,ainda
264,salir,sair
265,algún,alguns
266,vaya,Oh
267,unos,alguns
268,veo,Eu vejo
269,amigos,amigos
270,hermano,irmão
271,pensé,Eu pensei
272,sabía,sabia
273,cabeza,cabeça
274,ah,Ah
275,cariño,querido
276,digo,dizer
277,van,ir
278,hombres,homens
279,buenas,Olá bom
280,somos,são
281,cualquier,qualquer
282,forma,forma
283,mientras,enquanto
284,lado,lado
285,debo,devo
286,sería,Eu gostaria
287,caso,caso
288,pueden,eles podem
289,pasó,passado
290,primera,primeiro
291,genial,brilhante
292,chico,garoto
293,supuesto,suposto
294,hice,Eu fiz
295,pues,bem
296,adiós,tchau
297,muchas,muitos
298,personas,pessoas
299,señora,senhora
300,volver,retornar
301,esas,aqueles
302,quizá,Talvez
303,contra,contra
304,camino,caminho
305,durante,durante
306,hablando,conversando
307,manera,Maneira
308,muerto,morto
309,persona,pessoa
310,rápido,rápido
311,cuál,qual
312,ayuda,ajuda
313,historia,história
314,iba,Eu estava indo
315,supongo,eu acho
316,nueva,novo
317,entiendo,Eu entendo
318,dentro,dentro
319,casi,quase
320,puerta,porta
321,ves,você vê
322,pasar,passar
323,primero,primeiro
324,significa,significa
325,semana,semana
326,hacia,na direção
327,quizás,talvez
328,espero,espere
329,juntos,junto
330,año,ano
331,niños,crianças
332,pronto,breve
333,tío,tio
334,suerte,sorte
335,ciudad,cidade
336,siquiera,até
337,feliz,feliz
338,venir,vir
339,hija,filha
340,gustaría,gostaria
341,minutos,minutos
342,cuánto,quanto
343,os,você
344,hey,Ei
345,muerte,morte
346,dejar,deixar
347,realidad,realidade
348,deja,folhas
349,problemas,problemas
350,vi,serra
351,da,dá
352,importante,importante
353,dijiste,disse
354,corazón,coração
355,miedo,temer
356,jefe,chefe
357,agua,água
358,haré,eu farei
359,justo,justo
360,horas,horas
361,poder,pode
362,buenos,bom
363,esposa,esposa
364,manos,mãos
365,debes,você deve
366,viene,vem
367,venga,venha
368,nuestros,nosso
369,ojos,olhos
370,adelante,avançar
371,encontrar,encontrar
372,mano,mão
373,cinco,cinco
374,niño,Menino
375,ninguna,nenhum
376,otros,outros
377,cara,caro
378,cuidado,cuidadoso
379,bajo,baixo
380,cerca,aproximar
381,viejo,velho
382,déjame,Deixe-me
383,noches,noites
384,bastante,bastante
385,fin,fim
386,tomar,pegar
387,único,apenas
388,misma,mesmo
389,escucha,ouvir
390,ningún,nenhum
391,suficiente,suficiente
392,punto,ver
393,cuándo,quando
394,sigue,prossiga
395,haya,é
396,equipo,equipamento
397,grande,grande
398,necesita,precisa
399,llegar,chegar
400,incluso,até
401,algunos,alguns
402,doctor,doutor
403,difícil,difícil
404,aunque,embora
405,hubiera,tive
406,primer,primeiro
407,coche,carro
408,hago,fazer
409,clase,aula
410,cuatro,quatro
411,mas,avançar
412,dices,Você diz
413,pequeño,pequeno
414,llama,chamadas
415,toma,pegar
416,hiciste,fez
417,allá,lá
418,última,durar
419,arriba,Acima
420,tierra,terra
421,guerra,guerra
422,pensar,pensar
423,pueda,Eu posso
424,igual,igual
425,loco,louco
426,sangre,sangue
427,mujeres,mulheres
428,vuelta,colo
429,fui,Eu era
430,trabajar,trabalhar
431,tenido,tive
432,juego,jogo
433,deberías,você deve
434,cuerpo,corpo
435,e,e
436,algunas,alguns
437,entrar,Entrem
438,cree,Acreditar
439,podía,poderia
440,debemos,deve
441,oportunidad,chance
442,teléfono,telefone
443,necesitamos,precisar
444,final,final
445,listo,preparar
446,fiesta,festa
447,muchos,muitos
448,estabas,estavas
449,quieren,Eles querem
450,vete,vá embora
451,auto,carro
452,dar,dar
453,vivir,ao vivo
454,posible,possível
455,ok,OK
456,hermana,irmã
457,número,número
