Spanish;Portuguese
de;de
que;que
no;Não
a;para
la;o
el;ele
y;e
es;é
en;em
lo;isto
un;a
por;por
qué;que
me;EU
una;a
los;o
se;ELE
te;chá
con;com
para;para
está;Está
mi;meu
pero;mas
sí;Sim
si;Sim
bien;bom
eso;isso
su;dele
las;as
yo;EU
del;do
como;como
aquí;aqui
tu;você
al;para o
más;avançar
le;você
esto;esse
todo;todos
ya;já
estoy;Eu sou
ahora;agora
muy;muito
ha;ha
esta;Está
así;Então
vamos;vamos
algo;algo
hay;há
bueno;Bem
tengo;Eu tenho
él;ele
cuando;quando
estás;são
sé;ELE
tú;você
nos;nós
nada;nada
cómo;como
este;esse
o;qualquer
he;Ele
ser;ser
tiene;tem
puedo;Eu posso
ella;ela
quiero;quero
hacer;fazer
fue;era
gracias;obrigado
vez;tempo
era;era
soy;sou
sólo;apenas
todos;todos
porque;porque
son;são
tienes;ter
creo;acreditar
voy;ir
sabes;Você sabe
estaba;era
puede;pode
eres;são
ese;esse
usted;você
entonces;então
hola;olá
solo;apenas
verdad;verdadeiro
casa;lar
tan;então
quién;Quem
sus;deles
tiempo;tempo
dos;dois
esa;que
nunca;nunca
dónde;onde
va;vai
oh;Oh
favor;Favor
mucho;bastante
mí;meu
quieres;querer
siento;eu sinto
señor;Senhor
mejor;melhorar
hace;faz
has;você tem
decir;dizer
también;também
sobre;sobre
dios;Deus
sin;sem
tenemos;ter
están;estão
ti;você
puedes;pode
ver;ver
hombre;homem
vida;vida
alguien;alguém
cosas;coisas
siempre;sempre
hasta;até
ahí;lá
ir;ir
años;anos
antes;antes
estar;ser
ni;nenhum
poco;pedaço
día;dia
uno;um
noche;noite
hecho;feito
mis;meu
estamos;nós somos
otra;outro
acuerdo;acordo
trabajo;trabalho
nosotros;nós
parece;parece
gente;pessoas
sea;ser
padre;pai
mira;olhar
mismo;mesmo
dijo;disse
nadie;ninguém
quiere;quer
podría;poderia
hablar;falar
vas;você vai
ellos;eles
sr.;Senhor.
tal;tal
pasa;acontece
fuera;fora
después;depois
han;Eles têm
desde;de
dinero;dinheiro
mundo;mundo
claro;claro
momento;momento
les;eles
tener;ter
estado;estado
otro;outro
había;houve
mañana;Manhã
tenía;tive
madre;mãe
vale;OK
lugar;lugar
haciendo;fazendo
donde;onde
seguro;claro
sabe;sabe
podemos;pode
tus;seu
espera;espere
nuevo;novo
sido;estive
cosa;coisa
hijo;filho
allí;lá
menos;menos
tipo;cara
amigo;amigo
gran;ótimo
nuestro;nosso
mujer;mulheres
mamá;mãe
luego;então
papá;pai
días;dias
dice;diz
hoy;hoje
tres;três
buena;bom
necesito;precisar
dije;disse
oye;ei
gusta;gosta
quería;queria
será;ser
haber;haver
parte;papel
todas;todos
crees;Você acredita
buen;bom
conmigo;Comigo
nombre;nome
mierda;merda
nuestra;nosso
